"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"111",1509,456,993,2324,40,929,118,2324,465,1382
"112",2324,685,2389,1664,597,118,929,993,957,1375
"113",597,2572,118,597,957,957,2273,456,993,2324
"114",1229,1229,1229,1229,1229,1229,1229,1229,1229,1229
"115",2722,2722,2722,2722,2722,2722,2722,2722,2722,2722
"116",1168,1168,1168,1168,1168,1168,1168,1168,1168,1168
"117",191,191,191,191,191,191,191,191,191,191
"118",2807,2807,2807,2807,2807,2807,2807,2807,2807,2807
"119",548,548,548,548,548,548,548,548,548,548
"120",1012,1012,1012,1012,1012,1012,1012,1012,1012,1012
"121",762,762,762,762,762,762,762,762,762,762
"122",1865,1865,1865,1865,1865,1865,1865,1865,1865,1865
"123",2380,2380,2380,2380,2380,2380,2380,2380,2380,2380
"124",2756,2756,2756,2756,2756,2756,2756,2756,2756,2756
"125",596,596,596,596,596,596,596,596,596,596
"126",237,237,237,237,237,237,237,237,237,237
"127",2040,417,2040,417,2040,417,2040,417,2040,417
"128",417,2040,417,2040,417,2040,417,2040,417,2040
"129",898,898,898,898,898,898,898,898,898,898
"130",1823,1427,1823,1427,1823,1427,1823,1427,1823,1427
"131",1427,1823,1427,1823,1427,1823,1427,1823,1427,1823
"132",2714,2714,2714,2714,2714,2714,2714,2714,2714,2714
"133",1523,1523,1523,1523,1523,1523,1523,1523,1523,1523
"134",2297,2297,2297,2297,2297,2297,2297,2297,2297,2297
"135",74,74,74,74,74,74,74,74,74,74
"136",18,570,18,570,18,570,18,570,18,570
"137",570,18,570,18,570,18,570,18,570,18
"138",1512,1512,1512,1512,1512,1512,1512,1512,1512,1512
"139",2782,2782,2782,2782,2782,2782,2782,2782,2782,2782
"140",489,489,2028,489,2028,489,489,489,2028,2028
"141",2028,2028,489,2028,489,2028,2028,2028,489,489
"142",3182,3182,3182,3182,3182,3182,3182,3182,3182,3182
"143",2773,2773,2773,2773,2773,2773,2773,2773,2773,2773
"144",1127,1127,1127,1127,1127,1127,1127,1127,1127,1127
"145",2637,2637,2637,2637,2637,2637,2637,2637,2637,2637
"146",1214,1214,1214,1214,1214,1214,1214,1214,1214,1214
"147",457,457,2808,2808,2808,457,457,2808,2808,2808
"148",2835,2835,457,2835,457,2808,2808,457,457,2835
"149",2808,2808,2835,457,2835,2835,2835,2835,2835,457
"150",1530,2620,2620,1530,1530,2620,1530,2620,2620,1530
"151",2620,1530,1530,2620,2620,1530,2620,1530,1530,2620
"152",3087,1895,557,2483,3087,3087,3087,557,557,3087
"153",1895,2924,1895,1895,557,157,157,3087,2924,1895
"154",2924,3087,2924,3087,2924,2483,557,2924,2483,157
"155",157,557,3087,2924,157,2924,2924,157,1895,2924
"156",2483,2483,2483,157,1895,1895,1895,1895,157,2483
"157",557,157,157,557,2483,557,2483,2483,3087,557
"158",3032,2499,3032,112,3032,3032,2499,3032,2499,112
"159",2499,3032,2499,2499,2499,112,112,112,112,2499
"160",112,112,112,3032,112,2499,3032,2499,3032,3032
"161",37,2344,37,2344,176,176,2344,176,2344,2344
"162",2344,37,2344,37,37,2344,176,2344,176,37
"163",176,176,176,176,2344,37,37,37,37,176
"164",2623,210,2400,2623,2623,2400,1807,1807,122,2623
"165",122,220,1807,220,3161,3161,1342,3161,210,2400
"166",210,1342,210,1807,1807,210,210,122,1342,210
"167",1807,1807,220,2400,122,1807,3161,1342,2400,122
"168",3161,2400,1342,1342,2400,2623,2400,220,220,220
"169",220,3161,2623,3161,210,122,220,210,2623,1342
"170",1342,2623,122,122,1342,220,2623,2400,3161,1807
"171",2400,122,3161,210,220,1342,122,2623,1807,3161
"172",2540,2540,2540,2540,2540,2540,2540,2540,2540,2540
"173",2973,2973,2973,2973,2973,2973,2973,2973,2973,2973
"174",2486,2486,2486,2486,2486,2486,2486,2486,2486,2486
"175",1269,1269,1269,1269,1269,1269,1269,1269,1269,1269
"176",2457,3063,2457,3063,2457,3063,2457,3063,2457,3063
"177",3063,2457,3063,2457,3063,2457,3063,2457,3063,2457
"178",2833,1967,1261,2833,1967,2833,1967,2833,1261,1261
"179",1261,1261,1967,1261,2833,1967,2833,1967,2833,2833
"180",1967,2833,2833,1967,1261,1261,1261,1261,1967,1967
"181",1536,2765,1536,1536,2765,1536,1843,1843,1536,2765
"182",1843,1843,1843,2765,1536,2765,2765,1536,1843,1843
"183",2765,1536,2765,1843,1843,1843,1536,2765,2765,1536
"184",1356,474,1356,2790,1356,1356,2790,2790,1356,474
"185",1211,1211,1211,474,474,2790,474,2641,474,1356
"186",474,2641,2790,1211,2641,474,2641,1356,1211,1211
"187",2790,1356,2641,2641,2790,1211,1211,474,2641,2641
"188",2641,2790,474,1356,1211,2641,1356,1211,2790,2790
"189",2772,2772,1522,743,743,1522,1522,2772,2772,1522
"190",743,1522,2772,2772,1522,743,2772,1522,743,743
"191",1522,743,743,1522,2772,2772,743,743,1522,2772
"192",1369,376,920,1942,3125,920,920,1942,1942,1184
"193",376,3125,1942,920,1942,1942,3125,376,1184,3125
"194",3125,1942,1369,1369,1369,1369,1184,1184,920,1942
"195",1942,920,376,3125,376,3125,1942,3125,1369,1369
"196",1184,1369,3125,1184,1184,376,1369,1369,3125,920
"197",920,1184,1184,376,920,1184,376,920,376,376
"198",308,1056,308,1056,308,1056,308,1056,308,1056
"199",1056,308,1056,308,1056,308,1056,308,1056,308
"200",747,747,747,747,747,747,747,747,747,747
"201",2177,2177,2177,2177,2177,2177,2177,2177,2177,2177
"202",3078,3078,3078,3078,3078,3078,3078,3078,3078,3078
"203",1917,1917,1917,1917,1917,1917,1917,1917,1917,1917
"204",2352,2352,2352,2352,2352,2352,2352,2352,2352,2352
"205",647,647,647,647,647,647,647,647,647,647
"206",2517,2517,2501,2735,2501,2501,2517,2735,2501,2517
"207",2501,2735,2735,2501,2735,2517,2501,2501,2735,2735
"208",2735,2501,2517,2517,2517,2735,2735,2517,2517,2501
"209",1328,1328,1328,1328,1328,1328,1328,1328,1328,1328
"210",1208,1208,1208,1208,1208,1208,1208,1208,1208,1208
"211",2585,2585,2585,2585,2585,2585,2585,2585,2585,2585
"212",1365,1365,1365,1365,1365,1365,1365,1365,1365,1365
"213",1451,1451,1451,1451,1451,1451,1451,1451,1451,1451
"214",1755,1755,1755,1755,1755,1755,1755,1755,1755,1755
"215",1295,1295,1295,1295,1295,1295,1295,1295,1295,1295
"216",2278,2278,2278,2278,2278,2278,2278,2278,2278,2278
"217",2690,2690,2690,2690,2690,2690,2690,2690,2690,2690
"218",2887,2887,2887,2887,2887,2887,2887,2887,2887,2887
"219",558,2288,558,2288,558,2288,558,2288,558,2288
"220",2288,558,2288,558,2288,558,2288,558,2288,558
"221",398,398,398,398,398,398,398,398,398,398
"222",10,10,10,10,10,10,10,10,10,10
"223",1763,1763,1763,1763,1763,1763,1763,1763,1763,1763
"224",2429,2523,2429,2523,2429,2523,2429,2523,2429,2523
"225",2523,2429,2523,2429,2523,2429,2523,2429,2523,2429
"226",588,2337,2337,2337,588,588,2337,2337,2337,2337
"227",2337,588,588,588,2337,2337,588,588,588,588
"228",1304,1304,1304,1304,1304,1304,1304,1304,1304,1304
"229",1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
"230",2271,2473,2271,2271,2473,2473,2473,2271,2473,2473
"231",2473,2271,2473,2473,2271,2271,2271,2473,2271,2271
"232",2440,2440,2440,2440,2440,2440,2440,2440,2440,2440
"233",2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
"234",2583,2583,235,1268,235,235,2583,235,235,1268
"235",235,1268,1268,235,1268,2583,235,2583,1268,235
"236",1268,235,2583,2583,2583,1268,1268,1268,2583,2583
"237",934,934,934,934,934,934,934,934,934,934
"238",1425,1425,1425,1425,1425,1425,1425,1425,1425,1425
"239",2347,2347,2347,2347,2347,2347,2347,2347,2347,2347
"240",1791,2192,2192,1901,1901,1791,1791,1791,2192,1901
"241",1901,1791,1791,2192,2192,1901,1901,1901,1791,1791
"242",2192,1901,1901,1791,1791,2192,2192,2192,1901,2192
"243",1896,1896,1896,1896,1896,1896,1896,1896,1896,1896
"244",493,493,493,493,493,493,493,493,493,493
"245",2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
"246",658,658,658,658,658,658,658,658,658,658
"247",242,137,242,137,242,137,242,137,242,137
"248",137,242,137,242,137,242,137,242,137,242
"249",517,1319,517,1319,517,1319,517,1319,517,1319
"250",1319,517,1319,517,1319,517,1319,517,1319,517
"251",2296,2296,2296,2296,2296,2296,2296,2296,2296,2296
"252",2002,2002,2002,2002,2002,2002,2002,2002,2002,2002
"253",549,549,549,549,549,549,549,549,549,549
"254",2532,2532,2532,2532,2532,2532,2532,2532,2532,2532
"255",666,666,666,666,666,666,666,666,666,666
"256",1252,1252,1252,1252,1252,1252,1252,1252,1252,1252
"257",497,851,497,851,497,851,497,851,497,851
"258",851,497,851,497,851,497,851,497,851,497
"259",3144,3144,3144,3144,3144,3144,3144,3144,3144,3144
"260",3018,908,3018,908,3018,908,3018,908,3018,908
"261",908,3018,908,3018,908,3018,908,3018,908,3018
"262",2388,2388,2388,2388,2388,2388,2388,2388,2388,2388
"263",787,787,787,787,787,787,787,787,787,787
"264",2905,2905,2905,2905,2905,2905,2905,2905,2905,2905
"265",1031,1031,1031,1031,1031,1031,1031,1031,1031,1031
"266",2399,2399,2399,2399,2399,2399,2399,2399,2399,2399
"267",1167,1167,1167,1167,1167,1167,1167,1167,1167,1167
"268",48,48,48,48,48,48,48,48,48,48
"269",28,28,28,28,28,28,28,28,28,28
"270",1666,1666,1666,1666,1666,1666,1666,1666,1666,1666
"271",1537,1537,1537,1537,1537,1537,1537,1537,1537,1537
"272",1470,1470,1470,1470,1470,1470,1470,1470,1470,1470
"273",5,5,5,5,5,5,5,5,5,5
"274",196,196,196,196,196,196,196,196,196,196
"275",582,582,582,582,582,582,582,582,582,582
"276",484,484,484,484,484,484,484,484,484,484
"277",1848,1848,1848,1848,1848,1848,1848,1848,1848,1848
"278",190,190,190,190,190,190,190,190,190,190
"279",200,200,200,200,200,200,200,200,200,200
"280",2452,2452,2452,2452,2452,2452,2452,2452,2452,2452
"281",811,811,811,811,811,811,811,811,811,811
"282",1577,1577,1577,1577,1577,1577,1577,1577,1577,1577
"283",2421,2421,2421,2421,2421,2421,2421,2421,2421,2421
"284",2032,2032,2032,2032,2032,2032,2032,2032,2032,2032
"285",1501,1501,1501,1501,1501,1501,1501,1501,1501,1501
"286",2988,2988,2988,2988,2988,2988,2988,2988,2988,2988
"287",2009,2009,2009,2009,2009,2009,2009,2009,2009,2009
"288",772,772,772,772,772,772,772,772,772,772
"289",345,345,345,345,345,345,345,345,345,345
"290",259,259,259,259,259,259,259,259,259,259
"291",1604,1604,1604,1604,1604,1604,1604,1604,1604,1604
"292",2348,2348,2348,2348,2348,2348,2348,2348,2348,2348
"293",2261,3068,2261,3068,2261,3068,2261,3068,2261,3068
"294",3068,2261,3068,2261,3068,2261,3068,2261,3068,2261
"295",2566,2566,2566,2566,2566,2566,2566,2566,2566,2566
"296",1624,1624,1624,1624,1624,1624,1624,1624,1624,1624
"297",3050,3050,3050,3050,3050,3050,3050,3050,3050,3050
"298",2925,2925,2925,2925,2925,2925,2925,2925,2925,2925
"299",1193,1381,3107,3107,3107,2074,1193,1193,1381,3107
"300",1381,2074,1193,1381,1193,1193,1381,1381,3107,2074
"301",3107,1193,1381,1193,1381,1381,3107,2074,1193,1381
"302",2074,3107,2074,2074,2074,3107,2074,3107,2074,1193
"303",2606,2606,2606,2606,2606,2606,2606,2606,2606,2606
"304",1690,704,1690,997,704,1690,1690,1690,704,704
"305",2897,1690,2897,704,2897,997,704,997,2897,2897
"306",997,2897,997,2897,1690,2897,2897,2897,1690,997
"307",704,997,704,1690,997,704,997,704,997,1690
"308",135,2427,135,2427,135,2427,135,2427,135,2427
"309",2427,135,2427,135,2427,135,2427,135,2427,135
"310",368,3036,368,3036,368,3036,368,3036,368,3036
"311",3036,368,3036,368,3036,368,3036,368,3036,368
"312",955,955,955,955,955,955,955,955,955,955
"313",1231,2868,1231,2868,2514,2868,2514,1698,1231,1231
"314",2514,1698,1698,1231,1231,2514,1231,2514,1698,1698
"315",1698,1231,2868,2514,2868,1698,2868,1231,2868,2514
"316",2868,2514,2514,1698,1698,1231,1698,2868,2514,2868
"317",845,845,845,845,845,845,845,845,845,845
"318",328,328,328,328,328,328,328,328,328,328
"319",1354,1354,1354,1354,1354,1354,1354,1354,1354,1354
"320",507,507,507,507,507,507,507,507,507,507
"321",1832,1832,1832,1832,1832,1832,1832,1832,1832,1832
"322",432,432,432,432,432,432,432,432,432,432
"323",2021,2021,209,2021,209,209,2021,209,209,209
"324",209,209,2021,209,2021,2021,209,2021,2021,2021
"325",2851,2851,2851,2851,2851,2851,2851,2851,2851,2851
"326",646,646,646,646,646,646,646,646,646,646
"327",287,287,287,287,287,287,287,287,287,287
"328",1972,1972,1972,1972,1972,1972,1972,1972,1972,1972
"329",405,405,405,405,405,405,405,405,405,405
"330",2826,361,2826,361,2826,361,2826,361,2826,361
"331",361,2826,361,2826,361,2826,361,2826,361,2826
"332",1582,1582,1582,1582,1582,1582,1582,1582,1582,1582
"333",1839,1839,1839,1839,1839,1839,1839,1839,1839,1839
"334",1408,1408,1408,1408,931,931,931,931,1408,1408
"335",931,931,931,931,1408,1408,1408,1408,931,931
"336",140,140,140,140,140,140,140,140,140,140
"337",370,1516,1447,370,1516,1516,1516,1516,1516,370
"338",1516,1447,1516,1447,1447,1533,1533,370,370,1516
"339",1533,370,370,1533,1533,1447,370,1533,1447,1447
"340",1447,1533,1533,1516,370,370,1447,1447,1533,1533
"341",1036,1669,1036,1036,1036,1669,1890,1036,1036,1890
"342",1890,1890,1890,1669,1890,1890,1669,1669,1890,1036
"343",1669,1036,1669,1890,1669,1036,1036,1890,1669,1669
"344",2590,2590,2590,2590,2590,2590,2590,2590,2590,2590
"345",700,700,700,700,700,700,700,700,700,700
"346",1045,1045,1741,1741,1045,1741,1045,460,1045,1045
"347",1741,1741,1045,460,1741,1045,1741,1741,460,1741
"348",460,460,460,1045,460,460,460,1045,1741,460
"349",2804,2804,2158,2804,203,2158,2158,203,2804,203
"350",2158,203,203,203,2804,2804,203,2158,2158,2158
"351",203,2158,2804,2158,2158,203,2804,2804,203,2804
"352",3083,429,17,429,429,17,3083,3083,3083,429
"353",429,3083,3083,3083,17,429,429,17,429,3083
"354",17,17,429,17,3083,3083,17,429,17,17
"355",2645,2645,2645,2645,2645,2645,2645,2645,2645,2645
"356",2299,2299,2299,2299,2299,2299,2299,2299,2299,2299
"357",3003,3024,3024,3003,3024,3024,3003,3024,3024,3024
"358",3024,3003,3003,3024,3003,3003,3024,3003,3003,3003
"359",360,360,360,360,360,360,360,360,360,360
"360",1736,1736,1736,1736,1736,1736,1736,1736,1736,1736
"361",22,2881,2881,2881,22,22,2881,2881,22,2881
"362",2881,22,22,22,2881,2881,22,22,2881,22
"363",260,260,260,260,260,260,260,260,260,260
"364",827,827,827,827,827,827,827,827,827,827
"365",25,25,25,25,25,25,25,25,25,25
"366",1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
"367",513,513,513,513,513,513,513,513,2260,513
"368",2260,2260,2260,2260,2260,2260,2260,2260,513,2260
"369",2069,2921,2069,2921,2069,2921,2069,2921,2069,2921
"370",2921,2069,2921,2069,2921,2069,2921,2069,2921,2069
"371",1063,1063,1063,1063,1063,1063,1063,1063,1063,1063
"372",2705,817,2705,817,2705,817,2705,817,2705,817
"373",817,2705,817,2705,817,2705,817,2705,817,2705
"374",1753,1753,1753,1753,1753,1753,1753,1753,1753,1753
"375",2045,2045,2045,2045,2045,2045,2045,2045,2045,2045
"376",2943,2013,2943,2013,2943,2013,2943,2013,2943,2013
"377",2013,2943,2013,2943,2013,2943,2013,2943,2013,2943
"378",2224,2224,2224,2224,2224,2224,2224,2224,2224,2224
"379",1716,879,1028,1028,1716,879,1716,879,1028,1716
"380",1028,1028,1716,1716,1028,1716,879,1716,1716,1028
"381",879,1716,879,879,879,1028,1028,1028,879,879
"382",726,726,726,726,726,726,726,726,726,726
"383",2043,2043,2043,2043,2043,2043,2043,2043,2043,2043
"384",2628,2628,2628,2628,2628,2628,2628,2628,2628,2628
"385",2994,2994,2994,2994,2994,2994,2994,2994,2994,2994
"386",2837,2837,2837,2837,2837,2837,2837,2837,2837,2837
"387",829,829,829,829,829,829,829,829,829,829
"388",1702,1702,1702,1702,1702,1702,1702,1702,1702,1702
"389",678,678,678,678,678,678,678,678,678,678
"390",1276,1276,1276,1276,1276,1276,1276,1276,1276,1276
"391",1973,1973,1973,1973,1973,1973,1973,1973,1973,1973
"392",2801,1444,2801,1444,2801,1444,2801,1444,2801,1444
"393",1444,2801,1444,2801,1444,2801,1444,2801,1444,2801
"394",699,699,699,699,699,699,699,699,699,699
"395",400,400,400,400,400,400,400,400,400,400
"396",1744,3002,1744,3002,1744,3002,1744,3002,1744,3002
"397",3002,1744,3002,1744,3002,1744,3002,1744,3002,1744
"398",95,95,95,95,95,95,95,95,95,95
"399",999,999,999,999,999,999,999,999,999,999
"400",35,35,35,35,35,35,35,35,35,35
"401",3056,3056,3056,3056,3056,3056,3056,3056,3056,3056
"402",1731,1731,1731,1731,1731,1731,1731,1731,1731,1731
"403",2488,2488,2488,2488,2488,2488,2488,2488,2488,2488
"404",2989,2989,2989,2989,2989,2989,2989,2989,2989,2989
"405",2280,2280,2280,2280,2280,2280,2280,2280,2280,2280
"406",1757,1757,1757,1757,1757,1757,1757,1757,1757,1757
"407",3176,2564,2564,1822,2564,2564,3176,3176,2564,2564
"408",2564,1822,1822,2564,3176,1822,2564,2564,3176,3176
"409",1822,3176,3176,3176,1822,3176,1822,1822,1822,1822
"410",2661,2661,2661,2661,2661,2661,2661,2661,2661,2661
"411",2338,2338,2338,2338,2338,2338,2338,2338,2338,2338
"412",3062,3062,3062,3062,3062,3062,3062,3062,3062,3062
"413",2104,2104,2104,2104,2104,2104,2104,2104,2104,2104
"414",2733,2733,2733,2733,2733,2733,2733,2733,2733,2733
"415",1067,1067,1067,1067,1067,1067,1067,1067,1067,1067
"416",2659,2659,2659,2659,2659,2659,2659,2659,2659,2659
"417",3190,3190,3190,3190,3190,3190,3190,3190,3190,3190
"418",2292,2292,2292,2292,2292,2292,2292,2292,2292,2292
"419",2899,2899,2899,2899,2899,2899,2899,2899,2899,2899
"420",274,274,274,274,274,274,274,274,274,274
"421",2102,2102,2102,2102,2102,2102,2102,2102,2102,2102
"422",991,1189,2478,991,930,206,991,1189,2847,2847
"423",1330,991,991,206,2847,2847,206,206,930,991
"424",206,2478,1330,1189,991,1189,930,930,1330,1330
"425",1189,206,2847,1330,2478,2478,2847,2478,206,1189
"426",2847,2847,930,930,1330,930,1330,2847,2478,206
"427",930,1330,206,2847,206,1330,1189,991,991,930
"428",2478,930,1189,2478,1189,991,2478,1330,1189,2478
"429",1366,2731,1366,2731,1366,2731,1366,1366,1366,1366
"430",2731,1366,2731,1366,2731,1366,2731,2731,2731,2731
"431",2462,2462,132,132,3026,3026,2462,3026,3026,2462
"432",3026,3026,2462,2462,132,132,3026,2462,132,132
"433",132,132,3026,3026,2462,2462,132,132,2462,3026
"434",1329,1329,1329,1329,1329,1329,1329,1329,1329,1329
"435",437,437,437,437,437,437,437,437,437,437
"436",2363,2784,2784,2363,1614,1614,2363,1614,2784,1614
"437",1614,1614,1614,1614,2784,2363,1614,2363,1614,2784
"438",2784,2363,2363,2784,2363,2784,2784,2784,2363,2363
"439",1157,2752,1157,1157,2752,1998,2752,271,271,1157
"440",1998,1998,271,1998,1157,2752,1998,2752,2752,1998
"441",271,271,2752,2752,271,1157,1157,1998,1157,2752
"442",2752,1157,1998,271,1998,271,271,1157,1998,271
"443",1426,44,1426,44,1426,44,1426,44,1426,44
"444",44,1426,44,1426,44,1426,44,1426,44,1426
"445",2844,2626,2844,2626,2844,2626,2844,2626,2844,2626
"446",2626,2844,2626,2844,2626,2844,2626,2844,2626,2844
"447",2062,285,2062,285,2062,285,2062,285,2062,285
"448",285,2062,285,2062,285,2062,285,2062,285,2062
"449",12,12,12,12,12,12,12,12,12,12
"450",2946,2946,2946,2946,2946,2946,2946,2946,2946,2946
"451",902,902,902,902,902,902,902,902,902,902
"452",2066,1851,2066,1851,2066,1851,2066,1851,2066,1851
"453",1851,2066,1851,2066,1851,2066,1851,2066,1851,2066
"454",1639,1196,1639,1196,1639,1196,1639,1196,1639,1196
"455",1196,1639,1196,1639,1196,1639,1196,1639,1196,1639
"456",2883,2841,2841,2841,2883,2883,2841,2841,2883,1473
"457",1473,2883,2883,1473,2841,2841,2883,2883,2841,2883
"458",2841,1473,1473,2883,1473,1473,1473,1473,1473,2841
"459",4,2145,4,2145,4,2145,4,2145,4,2145
"460",2145,4,2145,4,2145,4,2145,4,2145,4
"461",2875,2875,2875,1265,2875,2477,2875,2875,2875,2477
"462",2477,2477,1265,2875,2477,2875,2477,1265,1265,1265
"463",1265,1265,2477,2477,1265,1265,1265,2477,2477,2875
"464",2768,620,620,2931,3181,2931,2931,2931,3181,620
